iter	Logloss
0	0.6723206813
1	0.6533126692
2	0.634429511
3	0.6148468842
4	0.6015248324
5	0.5892384912
6	0.5715063907
7	0.5525372952
8	0.5372495584
9	0.525037019
10	0.5116349943
11	0.4990178658
12	0.4879750165
13	0.4782064876
14	0.4716090362
15	0.4618527738
16	0.4544156686
17	0.4461454296
18	0.4403197966
19	0.4342482517
20	0.4262003107
21	0.4207304384
22	0.4152427104
23	0.4084593576
24	0.4018617765
25	0.3961180029
26	0.3918893972
27	0.3873458029
28	0.3837136315
29	0.378830213
30	0.3747233418
31	0.3717102465
32	0.3664610705
33	0.362841383
34	0.3594727015
35	0.3569199332
36	0.353649003
37	0.3501413685
38	0.3474103886
39	0.3448717062
40	0.3424963761
41	0.338488602
42	0.3332043985
43	0.3292394875
44	0.3269690793
45	0.3223887542
46	0.3190059043
47	0.3154829654
48	0.3125011393
49	0.3102045636
50	0.3077478115
51	0.3043328269
52	0.3008941105
53	0.2973600866
54	0.2944217841
55	0.2923217867
56	0.2886281095
57	0.2874260366
58	0.28521214
59	0.2826174389
60	0.2811589494
61	0.2793531971
62	0.2772562751
63	0.2751633963
64	0.2740299081
65	0.2716141515
66	0.269324013
67	0.265746083
68	0.2640332702
69	0.2629059711
70	0.2607834228
71	0.2584380525
72	0.2572066725
73	0.2553619438
74	0.253282531
75	0.2515364368
76	0.2495829378
77	0.2486310054
78	0.2472718468
79	0.2462625832
80	0.2453944481
81	0.2443527856
82	0.2422702542
83	0.2396725155
84	0.2380074624
85	0.2357943929
86	0.2346318849
87	0.2329389634
88	0.2308130599
89	0.2290863929
90	0.2279467002
91	0.2270513577
92	0.2259857722
93	0.2244070534
94	0.2231887711
95	0.2222745605
96	0.2215816664
97	0.2197414015
98	0.2182149175
99	0.2171490268
100	0.2154892322
101	0.2137678947
102	0.2118049614
103	0.2102512675
104	0.2097034474
105	0.2079472836
106	0.2059498874
107	0.2048920209
108	0.2040677552
109	0.2029645183
110	0.201858099
111	0.2002907065
112	0.1987161544
113	0.1974258221
114	0.1964775721
115	0.1949765505
116	0.1942452993
117	0.1925141504
118	0.1919994591
119	0.1908119638
120	0.1896544632
121	0.1884544884
122	0.187699988
123	0.1868127951
124	0.1860159152
125	0.1854254758
126	0.1841607327
127	0.1837120377
128	0.1824497344
129	0.1811035256
130	0.1803434419
131	0.1793055023
132	0.1787924527
133	0.1780030953
