iter	Passed	Remaining
0	189	189568
1	204	102150
2	218	72703
3	229	57136
4	240	47892
5	251	41676
6	262	37210
7	273	33924
8	284	31315
9	295	29207
10	305	27474
11	316	26055
12	326	24826
13	337	23792
14	348	22886
15	359	22090
16	369	21393
17	384	20961
18	400	20666
19	413	20266
20	425	19826
21	436	19405
22	447	19006
23	458	18639
24	468	18287
25	479	17969
26	490	17670
27	500	17386
28	511	17123
29	522	16884
30	532	16651
31	543	16434
32	556	16300
33	571	16228
34	583	16092
35	594	15916
36	605	15759
37	616	15611
38	627	15455
39	637	15306
40	648	15166
41	659	15039
42	670	14911
43	680	14786
44	691	14669
45	701	14558
46	712	14447
47	723	14341
48	739	14360
49	757	14383
50	767	14287
51	778	14200
52	789	14106
53	800	14020
54	811	13949
55	822	13869
56	833	13793
57	844	13715
58	856	13659
59	867	13589
60	878	13518
61	888	13448
62	899	13384
63	913	13362
64	929	13373
65	940	13307
66	951	13249
67	962	13192
68	973	13132
69	983	13070
70	994	13010
71	1005	12954
72	1015	12895
73	1026	12843
74	1036	12789
75	1047	12735
76	1058	12682
77	1068	12632
78	1079	12583
79	1101	12671
80	1115	12652
81	1127	12619
82	1138	12581
83	1149	12535
84	1160	12491
85	1170	12444
86	1181	12398
87	1192	12354
88	1202	12312
89	1213	12272
90	1224	12228
91	1234	12188
92	1245	12148
93	1256	12109
94	1269	12097
95	1283	12087
96	1296	12070
97	1307	12037
98	1318	12001
99	1329	11969
100	1340	11933
101	1351	11896
102	1361	11860
103	1372	11826
104	1383	11794
105	1394	11761
106	1405	11728
107	1416	11696
108	1426	11662
109	1437	11630
110	1450	11618
111	1464	11609
112	1484	11652
113	1496	11630
114	1509	11618
115	1522	11599
116	1533	11571
117	1544	11541
118	1554	11510
119	1565	11481
120	1576	11449
121	1586	11419
122	1597	11389
123	1608	11360
124	1621	11351
125	1636	11351
126	1648	11332
127	1660	11310
128	1671	11284
129	1682	11259
130	1693	11235
131	1708	11232
132	1719	11207
133	1729	11178
134	1740	11152
135	1752	11134
136	1763	11108
137	1775	11088
138	1785	11062
139	1797	11038
140	1813	11047
141	1828	11048
142	1839	11025
143	1858	11047
144	1874	11051
145	1888	11046
146	1905	11055
147	1921	11060
148	1940	11083
149	1956	11088
150	1972	11088
151	1989	11098
152	2002	11085
153	2014	11067
154	2033	11083
155	2049	11090
156	2066	11097
157	2080	11085
158	2098	11101
159	2114	11102
160	2130	11102
161	2145	11100
162	2163	11108
163	2176	11093
164	2187	11072
165	2206	11085
166	2227	11109
167	2243	11112
168	2258	11106
169	2272	11095
170	2284	11076
171	2298	11066
172	2314	11064
173	2334	11082
174	2349	11077
175	2366	11080
176	2381	11073
177	2394	11058
178	2406	11036
179	2418	11015
180	2429	10993
181	2440	10967
182	2450	10942
183	2461	10917
184	2472	10891
185	2482	10866
186	2493	10840
187	2503	10815
188	2517	10804
189	2530	10788
190	2542	10769
191	2553	10747
192	2564	10723
193	2575	10698
194	2585	10675
195	2596	10651
196	2608	10631
197	2619	10610
198	2631	10590
199	2642	10570
200	2654	10551
201	2665	10530
202	2676	10508
203	2689	10492
204	2702	10479
205	2714	10463
206	2726	10443
207	2737	10424
208	2748	10403
209	2762	10390
210	2773	10370
211	2784	10348
212	2798	10338
213	2815	10339
214	2829	10329
215	2842	10318
216	2858	10314
217	2874	10312
218	2887	10298
219	2915	10338
220	2931	10334
221	2948	10333
222	2966	10337
223	2984	10340
224	2999	10330
225	3019	10340
226	3034	10334
227	3050	10327
228	3069	10334
229	3087	10336
230	3103	10330
231	3128	10357
232	3146	10358
233	3163	10355
234	3180	10353
235	3205	10378
236	3220	10369
237	3236	10363
238	3258	10374
239	3272	10361
240	3299	10391
241	3317	10390
242	3332	10381
243	3349	10376
244	3364	10369
245	3380	10360
246	3395	10350
247	3410	10340
248	3426	10333
249	3443	10329
250	3457	10318
251	3469	10298
252	3480	10277
253	3492	10256
254	3503	10234
255	3514	10213
256	3525	10191
257	3536	10170
258	3546	10147
259	3557	10126
260	3568	10105
261	3580	10084
262	3592	10066
263	3608	10061
264	3623	10049
265	3635	10032
266	3647	10013
267	3658	9992
268	3669	9972
269	3681	9953
270	3692	9933
271	3704	9913
272	3715	9893
273	3726	9874
274	3738	9854
275	3749	9835
276	3760	9815
277	3772	9796
278	3786	9785
279	3802	9778
280	3814	9759
281	3825	9741
282	3838	9724
283	3849	9705
284	3861	9688
285	3873	9669
286	3884	9650
287	3896	9631
288	3907	9612
289	3918	9593
290	3929	9574
291	3941	9555
292	3956	9545
293	3976	9548
294	3987	9529
295	3999	9511
296	4010	9493
297	4022	9474
298	4033	9456
299	4044	9437
300	4055	9418
301	4066	9399
302	4078	9381
303	4089	9362
304	4100	9344
305	4111	9325
306	4123	9307
307	4142	9307
308	4157	9296
309	4169	9280
310	4180	9262
311	4192	9245
312	4204	9227
313	4215	9209
314	4226	9191
315	4237	9173
316	4249	9155
317	4261	9139
318	4272	9121
319	4284	9103
320	4297	9089
321	4312	9080
322	4332	9079
323	4345	9067
