,stock_price_at_STO_offer,STO_strike,STO_days_long,STO_offer_ARR,stock_price_at_open,STO_ask_fee%,STO_offer_strike_delta%,45 day SMA,30 day SMA,15 day SMA,10 day SMA,Yearly Min,Yearly Max,1 days old,2 days old,3 days old,4 days old,5 days old,RSI,MFI,MACD,45 day vel,30 day vel,15 day vel,10 day vel,5 day vel,2 day vel,ER - Expiry,RandomForest_d7,RandomForest_d15,RandomForest_d19,KNNeighbors_2,AdaBoost,GaussianNB,SVC linear
6058,78.39,79.0,11.0,0.3238179730717045,78.47,0.00975889781859931,0.007781604796530162,83.30933346666656,82.49866689999995,77.15666653333338,76.17399979999985,74.889999,89.07,75.860001,74.889999,75.75,76.540001,76.209999,29.021374424275336,27.239447928198857,-2.007410427120246,-0.22783926627140974,-0.5667096981090101,-0.32824999642857133,0.018060642424242702,0.20899969999999968,1.6699980000000068,52.0,,,,,,,
3466,83.43,81.5,15.0,0.5964481201805905,83.52,0.024511566582763992,-0.023133165527987613,81.16599979999992,82.33733333333332,83.13600006666668,83.36699979999989,76.099998,92.58000200000001,83.349998,83.540001,83.709999,83.470001,83.16999799999999,72.22205938792794,65.46174688612726,0.7181230456915432,0.14862979288537542,0.11021579399332578,0.09185713214285696,0.08709112727272736,0.044000300000000436,0.5200049999999976,78.0,,,,,,,
91,82.57,81.5,30.0,0.23133906584312305,82.87,0.01901416979532518,-0.012958701707641919,81.93755582222214,81.89833399999999,81.57200113333336,81.3450012999999,80.489998,95.120003,82.059998,81.650002,81.260002,81.400002,81.730003,43.15423293235464,57.274258418507344,-0.18106944717001658,-0.012565166403162022,-0.023316966407119003,-0.03157129642857167,0.15945466060606042,0.20999979999999996,-0.009994999999989318,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3040,81.78,82.0,14.0,0.1737457638961674,81.96,0.006664221080948886,0.002690144289557335,78.87644424444439,78.54166633333334,80.24399960000002,80.62300009999987,76.099998,92.58000200000001,81.43,80.889999,80.980003,79.91999799999999,79.889999,84.31799037126461,74.49785005522735,0.5505121948249335,0.024191036627141015,0.20692103314794216,0.17160730000000043,0.200788090909092,0.49900050000000395,0.7600020000000001,15.0,,,,,,,
3424,83.49,83.5,24.0,0.1393505210204815,83.61,0.009162773984908373,0.00011977482333219686,80.84822195555547,82.12233343333331,82.97866666666668,83.21699979999988,76.099998,92.58000200000001,83.709999,83.470001,83.16999799999999,83.470001,83.239998,71.05279502534927,66.5236840121162,0.7401317782499639,0.1601212285902503,0.11637593926585084,0.09553566428571406,0.09654549090909095,0.06800010000000185,-0.16999799999999254,71.0,,,,,,,
2680,79.82,79.0,7.0,0.6434567061602892,79.95,0.012340265597594588,-0.01027311450764211,78.87244431111107,78.06566643333336,77.82599946666667,78.53199929999987,76.099998,92.58000200000001,79.769997,79.5,79.25,78.82,79.029999,84.68633225924553,77.61154547869529,-0.10407061328345388,-0.08236893557312248,-0.027748670300333594,0.3097855,0.4184238121212118,0.30599890000000163,0.3199989999999957,36.0,,,,,,,
2805,80.46,80.0,30.0,0.1905294556301268,80.51,0.015659955257270694,-0.005717126522495573,78.81177755555551,78.04966630000006,78.54999900000001,79.56199879999988,76.099998,92.58000200000001,80.089996,80.07,80.089996,79.769997,79.5,88.23550207596365,78.5670329017501,0.1658102968801542,-0.05139397114624504,0.058520514126807595,0.33049994285714257,0.17830292121212066,0.09000079999999855,0.13000499999999704,8.0,,,,,,,
6447,73.96,73.5,29.0,0.3267376587531005,74.18,0.025959978366684695,-0.006219578150351458,81.99533319999988,79.46499989999997,76.18533273333337,76.29299929999983,74.260002,89.07,76.18,76.269997,75.550003,75.199997,75.739998,41.47286604405832,46.24020740706943,-1.6815581630225398,-0.36230962252964427,-0.48183987519466065,-0.060964257142856824,-0.2611513393939389,-0.12499929999999893,-1.9199980000000068,22.0,,,,,,,
6780,74.87,74.0,23.0,0.40272704571982737,75.08,0.025377320689194603,-0.011620141578736537,79.55066666666654,75.74566626666663,74.86199960000005,74.39899989999981,73.599998,89.07,74.150002,75.120003,74.41999799999999,73.599998,74.529999,40.45805266673594,44.98336392772088,-1.4155776259241286,-0.37697105125164687,-0.10035372769744165,-0.12207136785714308,-0.01703041818181808,0.051000400000000924,-0.1600040000000007,15.0,,,,,,,
7053,72.48,72.0,11.0,0.6935769114990968,72.55,0.0209023178807947,-0.006622516556291445,77.371110911111,75.08666616666665,74.14399933333337,73.98099989999982,72.809998,89.07,72.809998,73.699997,74.0,72.889999,73.5,50.20372386360898,52.943111073302894,-1.1639870206140408,-0.28100134795783926,-0.1179755250278088,-0.08471423214285716,-0.11606093939393988,0.2250001999999981,1.8000030000000038,18.0,,,,,,,
3075,81.54,81.5,11.0,0.2543369679131268,81.64,0.00766494971792985,-0.000490556781947587,78.90199982222217,78.73233303333335,80.45466646666668,80.81400039999987,76.099998,92.58000200000001,82.190002,81.43,80.889999,80.980003,79.91999799999999,79.1045664988428,67.12824550565568,0.6061711677452374,0.039106731093544185,0.21336823426028917,0.17432168214285731,0.237939757575758,0.3300003000000004,-0.20999900000001048,17.0,,,,,,,
6625,74.46,76.0,24.0,0.1582924836601307,74.53,0.010408272898200377,0.020682245500940187,81.225777711111,78.06566646666664,75.8326660666667,75.46199959999983,74.120003,89.07,74.559998,74.120003,74.260002,76.18,76.269997,48.00620801653182,46.36037783471028,-1.6164677290766691,-0.3837220210803689,-0.3665695648498331,-0.13557138214285727,-0.23006053333333365,-0.15800080000000208,0.6800000000000068,22.0,,,,,,,
432,81.84,80.0,29.0,0.3229598543836586,81.84,0.025659824046920823,-0.022482893450635425,82.02200048888879,82.03266729999996,82.19933380000005,82.3270004999999,80.489998,95.120003,82.550003,82.800003,82.550003,82.610001,81.910004,61.464214570080166,61.21598764616316,0.18389477671714105,0.003470373122529685,0.0042625332591768195,0.0598929500000002,0.047454939393939424,-0.1240005999999994,-0.5600050000000039,43.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
6536,74.31,77.0,35.0,0.09472864640406024,74.54,0.009083568833266048,0.0361997039429417,81.75288884444433,78.98466669999996,76.02933300000004,76.11899949999983,74.120003,89.07,74.260002,76.18,76.269997,75.550003,75.199997,41.82958843517396,38.69679064072856,-1.6649841943684063,-0.37594070961791826,-0.4538064909899888,-0.10474989285714276,-0.40854496363636367,-0.48699950000000175,-0.1399990000000031,15.0,,,,,,,
6036,76.74,79.0,34.0,0.1147112480645112,77.02,0.010685431326557207,0.02945009121709676,83.42955575555544,82.78366699999995,77.92599993333336,76.02799989999986,74.889999,89.07,74.889999,75.75,76.540001,76.209999,76.459999,14.769403671402316,20.866493777795952,-1.9864335630785597,-0.20925560553359684,-0.5555484106785318,-0.6367499749999999,-0.06666658787878747,-0.23499979999999995,0.9700019999999938,30.0,,,,,,,
2263,76.46,75.5,8.0,0.7488801334030867,76.6,0.01641381114308135,-0.01255558461940876,79.9182223555555,79.39566673333336,78.30533340000001,77.35500019999988,76.260002,92.58000200000001,76.739998,76.379997,76.639999,76.260002,77.470001,19.670293743733765,22.835646217777096,-0.6049948023088549,-0.0964387462450593,-0.15961958887652947,-0.3399286035714283,-0.2799396484848481,0.07999969999999906,-0.12999700000000303,57.0,,,,,,,
5031,88.06,87.0,24.0,0.3376367438867439,88.12,0.0222007722007722,-0.012037247331365004,83.90422231111098,84.97333376666661,86.74533286666671,87.22399979999986,76.099998,88.25,87.150002,87.43,88.0,86.970001,87.519997,73.83646707261343,59.286291029851554,1.0185072782460474,0.1665032959156786,0.21468288832035598,0.19621443571428582,0.13369719999999952,0.17100000000000082,1.0999979999999994,-13.0,,,,,,,
5628,76.56,75.0,22.0,0.4897525410848294,76.97,0.02951933124346917,-0.02037617554858937,84.95200044444431,85.93266679999995,85.84866740000005,84.80700069999986,76.099998,89.07,78.349998,79.720001,84.529999,89.07,87.300003,22.52494479697532,26.12689100725889,0.14337856414254266,0.07236230592885376,-0.05551497174638486,-0.6667857821428573,-1.3566668545454543,-3.043999699999998,-1.4099959999999925,57.0,,,,,,,
