STO_xtn_net_proceeds,STO_ask_fee%,STO_offer_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%,20Bin,BinNum,STO_xtn_net_proceeds,Trade Count,Net per Trade,Trade Count,Cut off label at Bin 10 – 50% profit on trade.,
4070930,3408,,,,20,20,100000,34080,'29,343',3408,4070930,5387930
96285,68,,,,19,19,96285,68000,'14,160',68,1.79%,1.79%
132120,95,,,,18,18,132120,95000,'13,907',95,2.45%,4.24%
84010,64,,,,17,17,84010,64000,'13,127',64,1.56%,5.80%
62840,55,,,,16,16,62840,55000,'11,425',55,1.17%,6.96%
64815,49,,,,15,15,64815,49000,'13,228',49,1.20%,8.17%
67200,56,,,,14,14,67200,56000,'12,000',56,1.25%,9.41%
85365,74,,,,13,13,85365,74000,'11,536',74,1.58%,11.00%
52525,56,,,,12,12,52525,56000,'9,379',56,0.97%,11.97%
64830,77,,,,11,11,64830,77000,'8,419',77,1.20%,13.18%
61495,81,,,,10,10,61495,81000,'7,592',81,1.14%,14.32%
44695,56,,,,9,9,44695,56000,'7,981',56,0.83%,15.15%
43240,67,,,,8,8,43240,67000,'6,454',67,0.80%,15.95%
43495,77,,,,7,7,43495,77000,'5,649',77,0.81%,16.76%
32225,65,,,,6,6,32225,65000,'4,958',65,0.60%,17.36%
28290,62,,,,5,5,28290,62000,'4,563',62,0.53%,17.88%
22420,69,,,,4,4,22420,69000,'3,249',69,0.42%,18.30%
16365,69,,,,3,3,16365,69000,'2,372',69,0.30%,18.60%
9385,54,,,,2,2,9385,54000,'1,738',54,0.17%,18.78%
4730,59,,,,1,1,4730,59000,802,59,0.09%,18.86%
185,64,,,,0,0,185,64000,29,64,0.00%,18.87%
-3305,41,,,,-1,-1,-3305,41000,-806,41,,
-7580,49,,,,-2,-2,-7580,49000,'-1,547',49,,'1,195'
-9720,47,,,,-3,-3,-9720,47000,'-2,068',47,,
-17280,56,,,,-4,-4,-17280,56000,'-3,086',56,,
-24335,66,,,,-5,-5,-24335,66000,'-3,687',66,,
-38095,83,,,,-6,-6,-38095,83000,'-4,590',83,,
-39985,71,,,,-7,-7,-39985,71000,'-5,632',71,,
-31045,52,,,,-8,-8,-31045,52000,'-5,970',52,,
-35175,50,,,,-9,-9,-35175,50000,'-7,035',50,,
-42255,54,,,,-10,-10,-42255,54000,'-7,825',54,,
-54550,65,,,,-11,-11,-54550,65000,'-8,392',65,,
-53120,60,,,,-12,-12,-53120,60000,'-8,853',60,,
-91185,83,,,,-13,-13,-91185,83000,'-10,986',83,,
-65570,58,,,,-14,-14,-65570,58000,'-11,305',58,,
-74215,60,,,,-15,-15,-74215,60000,'-12,369',60,,
-76600,62,,,,-16,-16,-76600,62000,'-12,355',62,,
-81045,61,,,,-17,-17,-81045,61000,'-13,286',61,,
-96680,69,,,,-18,-18,-96680,69000,'-14,012',69,,
-101105,66,,,,-19,-19,-101105,66000,'-15,319',66,,
-92745,64,,,,-20,-20,-92745,64000,'-14,491',64,,
-87825,53,,,,-21,-21,-87825,53000,'-16,571',53,,
-89865,49,,,,-22,-22,-89865,49000,'-18,340',49,,
-119305,65,,,,-23,-23,-119305,65000,'-18,355',65,,
-110030,64,,,,-24,-24,-110030,64000,'-17,192',64,,
