,Unnamed: 0,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds,STO_ask_fee%,STO_offer_strike_delta%,Closed_xtn_Profit$,Closed_xtn_Profit%
0,0,81.82,1.94,Mid,2017-05-01 11:30:00,80.0,2017-05-12 16:00:00,11,0.786760294215684,-1.43190373547254,-1.8199999999999898,ClosedCalled,10,C,,,,,,82.1,1.94,10,1929.9999999999998,2017-05-01 15:30:00,0.784077067877312,-1.64656184254235,-2.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-610.000000000001,0.023710584209239795,-0.022243950134441377,-610.0000000000011,-0.31606217616580373
1,1,81.81,1.935,Mid,2017-05-01 13:30:00,80.0,2017-05-12 16:00:00,11,0.784828482848285,-1.4205395539554,-1.81,ClosedCalled,10,C,,,,,,82.1,1.935,10,1925.0000000000002,2017-05-01 15:30:00,0.7820562506920609,-1.64231812645332,-2.09999999999999,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-615.000000000001,0.023652365236523653,-0.02212443466568882,-615.0000000000007,-0.3194805194805198
2,2,81.53,1.655,Mid,2017-05-04 13:30:00,80.0,2017-05-12 16:00:00,8,0.9261544830123879,-1.41701635900895,-1.53,ClosedCalled,10,C,,,,,,81.72,1.655,10,1645.0,2017-05-04 15:30:00,0.924001162506118,-1.58928199951052,-1.72,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-895.000000000001,0.020299276339997546,-0.018766098368698653,-895.0000000000009,-0.544072948328268
3,3,81.87,1.91,Mid,2017-05-05 11:30:00,80.0,2017-05-12 16:00:00,7,1.2164755972011398,-2.27480936676613,-1.87,ClosedCalled,10,C,,,,,,81.94,1.91,10,1899.9999999999998,2017-05-05 15:30:00,1.21543638202169,-2.35794658112207,-1.94,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-640.000000000001,0.02332966898741908,-0.022841089532185225,-640.0000000000011,-0.33684210526315855
4,4,81.82,1.865,Mid,2017-05-05 13:30:00,80.0,2017-05-12 16:00:00,7,1.1885410482941698,-2.1631447078953703,-1.8199999999999898,ClosedCalled,10,C,,,,,,81.94,1.865,10,1854.9999999999998,2017-05-05 15:30:00,1.1868004463196102,-2.3023928658600297,-1.94,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-685.000000000001,0.022793937912490837,-0.022243950134441377,-685.0000000000011,-0.36927223719676616
5,5,81.94,1.975,Mid,2017-05-05 15:30:00,80.0,2017-05-12 16:00:00,7,1.25679940025803,-2.43819083650057,-1.94,ClosedCalled,10,C,,,,,,82.01,1.975,10,1965.0,2017-05-05 16:00:00,1.25572665354399,-2.52401057362343,-2.01000000000001,82.53,,,,2017-05-12 16:00:00,,,-2.53,10.0,-2540.0,-575.000000000001,0.024103002196729315,-0.023675860385648007,-575.0000000000009,-0.29262086513994956
6,6,81.82,1.525,Mid,2017-05-01 11:30:00,80.5,2017-05-12 16:00:00,11,0.618458478700473,-0.8163651918846201,-1.31999999999999,ClosedCalled,10,C,,,,,,82.1,1.525,10,1515.0,2017-05-01 15:30:00,0.6163492415014951,-0.986158786402388,-1.5999999999999899,82.53,,,,2017-05-12 16:00:00,,,-2.03,10.0,-2040.0,-525.000000000001,0.01863847470056221,-0.016132974822781632,-525.0000000000011,-0.3465346534653473
7,7,81.81,1.5,Mid,2017-05-01 13:30:00,80.5,2017-05-12 16:00:00,11,0.6083941727506079,-0.7969963663032981,-1.31,ClosedCalled,10,C,,,,,,82.1,1.5,10,1490.0,2017-05-01 15:30:00,0.606245155575241,-0.9699922489203822,-1.5999999999999899,82.53,,,,2017-05-12 16:00:00,,,-2.03,10.0,-2040.0,-550.000000000001,0.018335166850018333,-0.016012712382349373,-550.0000000000011,-0.36912751677852423
8,8,82.1,1.735,Mid,2017-05-01 15:30:00,80.5,2017-05-12 16:00:00,11,0.7012235632820288,-1.1219577012512398,-1.5999999999999899,ClosedCalled,10,C,,,,,,82.14,1.735,10,1725.0000000000002,2017-05-01 16:00:00,0.700882086017221,-1.14944662106824,-1.64,82.53,,,,2017-05-12 16:00:00,,,-2.03,10.0,-2040.0,-315.00000000000097,0.02113276492082826,-0.019488428745432333,-315.0000000000009,-0.1826086956521744
9,9,81.92,1.575,Mid,2017-05-02 15:30:00,80.5,2017-05-12 16:00:00,10,0.701751708984375,-0.9964874267578141,-1.42,ClosedCalled,10,C,,,,,,82.04,1.575,10,1565.0,2017-05-02 16:00:00,0.7007252559726961,-1.0791168941979599,-1.54000000000001,82.53,,,,2017-05-12 16:00:00,,,-2.03,10.0,-2040.0,-475.00000000000097,0.01922607421875,-0.01733398437500002,-475.00000000000114,-0.30351437699680583
